ID	SUBJECT	SESSION	ROW	C_CHAT	C_CLAUSES	C_NP	CONTEXT
10240800508	24	8	508	&um +...			
10240800509	24	8	509	dark green ?	0	1	
10240800511	24	8	511	dark green ?	0	1	
10240800513	24	8	513	&um +...			
10240800517	24	8	517	&um, Rex .	0	1	
10240800520	24	8	520	like T+Rex .	0	1	
10240800522	24	8	522	he look like he did the dinosaur one .	2	3	
10240800525	24	8	525	can I paint on here ?	1	2	point while holding paintbrush
10240800528	24	8	528	Mom can I do this ?	1	2	point while holding paintbrush
10240800531	24	8	531	Mommy !	0	1	
10240800535	24	8	535	why ?	0	0	
10240800544	24	8	544	I'm not finished .	1	1	
10240800547	24	8	547	&xxx I want to finish this .	1	2	
10240800553	24	8	553	paint what ?	1	1	
10240800559	24	8	559	look .	1	0	
10240800561	24	8	561	a hand+print .	0	1	
10240800565	24	8	565	now I will wash my hands .	1	2	
10240800567	24	8	567	because I did my hand+print &xxx .	1	2	
10240800573	24	8	573	brown !	0	1	
10240800575	24	8	575	ow .	0	0	
10240800577	24	8	577	yeah .	0	0	
10240800585	24	8	585	yeah .	0	0	
10240800586	24	8	586	I want to clean .	1	1	
10240800587	24	8	587	the purple one .	0	1	
10240800589	24	8	589	&oh .			
10240800604	24	8	604	like the window .	0	1	
10240800610	24	8	610	okey+dokey Smokie .	0	0	
10240800612	24	8	612	towel .	0	1	
10240800613	24	8	613	towel .	0	1	
10240800616	24	8	616	huh ?	0	0	
10240800618	24	8	618	huh I want to play a puzzle .	1	2	
10240800625	24	8	625	nope .	0	0	
10240800627	24	8	627	this one .	0	1	
10240800630	24	8	630	yeah, Rainbow+Fish .	0	1	
10240800633	24	8	633	fish .	0	1	
10240800634	24	8	634	Mama .	0	1	
10240800635	24	8	635	Mama .	0	1	
10240800636	24	8	636	Mama .	0	1	
10240800638	24	8	638	Papa .	0	1	
10240800641	24	8	641	uno@f momento@f ?	0	0	
10240800643	24	8	643	no, you flip them over .	1	2	
10240800645	24	8	645	this is my ice+cream .	1	2	
10240800647	24	8	647	hey .	0	0	
10240800648	24	8	648	&xxx this has white .	1	2	
10240800650	24	8	650	yeah .	0	0	
10240800651	24	8	651	we're spreading things &xxx into pieces .	1	3	
10240800652	24	8	652	and that's the way it is .	2	3	
10240800653	24	8	653	is this +...	1	1	
10240800658	24	8	658	like this ?	0	1	
10240800659	24	8	659	like this ?	0	1	
10240800660	24	8	660	does this match ?	1	1	
10240800662	24	8	662	I can't do it .	1	2	
10240800670	24	8	670	no .	0	0	
10240800673	24	8	673	fits .	1	0	
10240800677	24	8	677	look .	1	0	
10240800678	24	8	678	this the end of the part .	1	3	
10240800680	24	8	680	this part .	0	1	
10240800681	24	8	681	&xxx this one .	0	1	
10240800682	24	8	682	look .	1	0	
10240800683	24	8	683	look !	1	0	
10240800687	24	8	687	let's turn these pieces over .	1	1	
10240800688	24	8	688	the bottom part goes at the bottom .	1	2	speech error pottom bart instead of bottom part
10240800690	24	8	690	I'm trying to look for some pieces &xxx not flipped over .	2	2	
10240800691	24	8	691	this one's flipped over ?	1	1	
10240800694	24	8	694	&um, are there some more not flipped over pieces &xxx ?	2	1	
10240800696	24	8	696	&oh .			
10240800697	24	8	697	flip .	0	1	
10240800698	24	8	698	Mommy doesn't want to play the game .	1	1	
10240800700	24	8	700	then sit down if you want to play the game .	2	2	
10240800702	24	8	702	uh+huh .	0	0	
10240800704	24	8	704	why ?	0	0	
10240800706	24	8	706	at eight+oclock ?	0	0	
10240800707	24	8	707	at eight+oclock, Mommy ?	0	0	
10240800710	24	8	710	okay sit down .	1	0	
10240800711	24	8	711	play the game .	1	1	
10240800719	24	8	719	wait .	1	0	
10240800722	24	8	722	yeah .	0	0	
10240800725	24	8	725	&oh .			
10240800727	24	8	727	give it to me .	1	2	
10240800728	24	8	728	right here ?	0	0	
10240800731	24	8	731	&oh .			
10240800732	24	8	732	here .	0	0	
10240800734	24	8	734	&oh .			
10240800735	24	8	735	here .	0	0	
10240800743	24	8	743	but it goes like this .	1	2	
10240800744	24	8	744	this the bottom part ?	1	2	
10240800746	24	8	746	this goes right there ?	1	1	cant' see
10240800751	24	8	751	this one &xxx ?	0	1	
10240800756	24	8	756	&oh .			
10240800759	24	8	759	when you do it like this it doesn't match .	2	4	
10240800761	24	8	761	see ?	1	0	
10240800763	24	8	763	all the holes are like this, and that's how you say +...	3	4	
10240800764	24	8	764	say, &um, puzzle in Spanish .	1	2	
10240800765	24	8	765	sit down .	1	0	
10240800767	24	8	767	uno@f &xxx .	0	0	
10240800769	24	8	769	uno@f &xxx .	0	0	
10240800772	24	8	772	uno@f &xxx .	0	0	
10240800774	24	8	774	uno@f &xxx .	0	0	
10240800776	24	8	776	uno@f &xxx .	0	0	
10240800779	24	8	779	&oh .			
10240800782	24	8	782	and this one go on the bottom .	1	2	
10240800783	24	8	783	right ?	0	0	
10240800792	24	8	792	what ?	0	0	
10240800795	24	8	795	right here .	0	0	
10240800799	24	8	799	I messed it up .	1	2	
10240800801	24	8	801	uno@f &xxx .	0	0	
10240800805	24	8	805	that goes here ?	1	1	
10240800816	24	8	816	this one ?	0	1	
10240800817	24	8	817	this right here ?	0	1	
10240800835	24	8	835	right here ?	0	0	
10240800840	24	8	840	yeah .	0	0	
10240800846	24	8	846	&oh .			
10240800857	24	8	857	and these have green stuff too .	1	2	
10240800863	24	8	863	yeah .	0	0	
10240800865	24	8	865	it goes right there ?	1	1	
10240800873	24	8	873	right here ?	0	0	
10240800876	24	8	876	uno@f &xxx .	0	0	
10240800879	24	8	879	uno@f &xxx .	0	0	
10240800881	24	8	881	right here ?	0	0	
10240800885	24	8	885	I know .	1	1	
10240800886	24	8	886	it goes right here .	1	1	
10240800888	24	8	888	a straight line .	0	1	
10240800892	24	8	892	it was here .	1	1	point while holding puzzle piece
10240800894	24	8	894	this goes right there .	1	1	
10240800896	24	8	896	what piece ?	0	1	
10240800899	24	8	899	yeah .	0	0	
10240800903	24	8	903	don't want that .	1	1	
10240800905	24	8	905	I put it over there because I don't want it &xxx .	2	5	
10240800915	24	8	915	what ?	0	0	
10240800916	24	8	916	&oh .			
10240800917	24	8	917	thank+you .	0	0	
10240800918	24	8	918	right here ?	0	0	
10240800923	24	8	923	&um, his tail .	0	1	
10240800934	24	8	934	what ?	0	0	
10240800936	24	8	936	yeah .	0	0	
10240800937	24	8	937	yeah &xxx .	0	0	
10240800943	24	8	943	this one goes down here .	1	2	
10240800945	24	8	945	right ?	0	0	
10240800953	24	8	953	right here ?	0	0	
10240800962	24	8	962	okay .	0	0	
10240800963	24	8	963	right here ?	0	0	
10240800969	24	8	969	right here ?	0	0	
10240800971	24	8	971	right here ?	0	0	
10240800974	24	8	974	the bottom part .	0	1	
10240800977	24	8	977	a snail .	0	1	
10240800994	24	8	994	hey we're missing +...	1	1	
10240801004	24	8	1004	yeah .	0	0	
10240801005	24	8	1005	why'd they cut it off ?	1	2	
10240801008	24	8	1008	well we're missing one part .	1	2	
10240801009	24	8	1009	it's right here .	1	1	
10240801011	24	8	1011	it goes right there .	1	1	
10240801012	24	8	1012	just like that .	0	1	
10240801017	24	8	1017	&um, I don't know .	1	1	
10240801019	24	8	1019	&uh &um a sea+shell .	0	1	
10240801021	24	8	1021	what ?	0	0	
10240801023	24	8	1023	a clam ?	0	1	
10240801024	24	8	1024	what clam ?	0	1	
10240801026	24	8	1026	what clams ?	0	1	
10240801029	24	8	1029	oops .	0	0	
10240801030	24	8	1030	I was messing up the box .	1	2	
10240801031	24	8	1031	no +...	0	0	
10240801035	24	8	1035	mm+hm .	0	0	
10240801037	24	8	1037	&oh .			
10240801043	24	8	1043	I know .	1	1	
10240801045	24	8	1045	yeah .	0	0	
10240801046	24	8	1046	glitter .	0	1	
10240801047	24	8	1047	like glue .	0	1	
10240801048	24	8	1048	like +...	0	0	
10240801050	24	8	1050	like my glitter .	0	1	
10240801052	24	8	1052	where's my glitter ?	1	1	
10240801055	24	8	1055	here .	0	0	
10240801056	24	8	1056	here's the other part .	1	1	
10240801057	24	8	1057	it goes right here .	1	1	
10240801059	24	8	1059	no, we're missing that one .	1	2	
10240801066	24	8	1066	and this &xxx .	0	1	
10240801067	24	8	1067	it was a &xxx .	1	1	
10240801069	24	8	1069	yeah, &xxx .	0	0	
10240801070	24	8	1070	that's how you say a part in Spanish .	2	4	
10240801073	24	8	1073	right here ?	0	0	
10240801077	24	8	1077	you say &xxx like me .	1	2	
10240801079	24	8	1079	you say the same word .	1	2	
10240801080	24	8	1080	excelente@f .	0	0	
10240801087	24	8	1087	thank+you .	0	0	
10240801089	24	8	1089	right here .	0	0	
10240801094	24	8	1094	here ?	0	0	
10240801098	24	8	1098	excelente@f .	0	0	
10240801102	24	8	1102	whose two ?	0	0	
10240801105	24	8	1105	whose two ?	0	0	
10240801107	24	8	1107	why &xxx two more piece +...	0	1	
10240801116	24	8	1116	I'll be the Rainbow+Fish .	1	2	
10240801119	24	8	1119	I will be the Rainbow+Fish .	1	2	
10240801122	24	8	1122	&um, he just gives it &xxx +...	1	2	
10240801124	24	8	1124	gives it to the girl .	1	2	
10240801133	24	8	1133	no .	0	0	
10240801135	24	8	1135	he &xxx .	0	1	
10240801137	24	8	1137	&xxx broken .	0	0	
10240801139	24	8	1139	&xxx broken .	0	0	
10240801141	24	8	1141	&um puzzle lie .	0	1	
10240801144	24	8	1144	why ?	0	0	
10240801146	24	8	1146	why ?	0	0	
10240801148	24	8	1148	I can lay down .	1	1	
10240801155	24	8	1155	no .	0	0	
10240801156	24	8	1156	&um I want to do the puzzle again .	1	2	
10240801158	24	8	1158	yeah .	0	0	
10240801160	24	8	1160	yeah .	0	0	
10240801161	24	8	1161	but you still help me ?	1	2	
10240801164	24	8	1164	okay .	0	0	
10240801165	24	8	1165	let me flip it over .	2	2	
10240801166	24	8	1166	going to do it by myself .	1	2	
10240801167	24	8	1167	let me see if &xxx by yourself .	2	2	
10240801172	24	8	1172	my barn ?	0	1	
10240801176	24	8	1176	yeah .	0	0	
10240801178	24	8	1178	&um, a barn .	0	1	
10240801181	24	8	1181	&uh &um in the basement .	0	1	
10240801183	24	8	1183	I got my barn puzzle .	1	2	
10240801184	24	8	1184	it's in the basement .	1	2	
10240801186	24	8	1186	barn .	0	1	
10240801189	24	8	1189	&buh b@l .	0	1	
10240801192	24	8	1192	thank+you .	0	0	
10240801195	24	8	1195	look .	1	0	
10240801196	24	8	1196	nope .	0	0	
10240801198	24	8	1198	&oh .			
10240801199	24	8	1199	the little guy .	0	1	
10240801201	24	8	1201	I'm covering it up .	1	2	
10240801207	24	8	1207	middle .	0	0	
10240801211	24	8	1211	look what I just did .	2	1	
10240801218	24	8	1218	look .	1	0	
10240801223	24	8	1223	Mom .	0	1	
10240801224	24	8	1224	Daddy look .	1	0	
10240801225	24	8	1225	it opens this up .	1	2	
10240801227	24	8	1227	see ?	1	0	
10240801230	24	8	1230	what ?	0	0	
10240801232	24	8	1232	like this ?	0	1	
10240801236	24	8	1236	&xxx, I can open it up like this .	1	3	
10240801237	24	8	1237	and you can put it in there .	1	3	
10240801240	24	8	1240	no .	0	0	
10240801242	24	8	1242	wait .	1	0	
10240801243	24	8	1243	stop doing that .	1	1	
10240801244	24	8	1244	we're not doing that part &xxx yet .	1	2	
10240801245	24	8	1245	we're doing this part .	1	2	
10240801246	24	8	1246	lay on your back .	0	1	
10240801248	24	8	1248	lay on your back .	0	1	
10240801249	24	8	1249	lay on your back .	0	1	
10240801250	24	8	1250	I said back .	1	1	
10240801251	24	8	1251	I didn't say &xxx +...	1	1	
10240801254	24	8	1254	we're not &xxx +...	1	1	
10240801255	24	8	1255	I didn't &xxx my &xxx .	1	2	
10240801260	24	8	1260	why ?	0	0	
10240801266	24	8	1266	&um, once upon a time .	0	1	
10240801268	24	8	1268	&um the little boy was catching fish .	1	2	
10240801271	24	8	1271	and the little boy caught a one +...	1	2	
10240801272	24	8	1272	then two +...	0	0	
10240801273	24	8	1273	then &xxx he caught three .	1	2	
10240801277	24	8	1277	the end .	0	1	
10240801279	24	8	1279	now I want to do this one .	1	2	
10240801285	24	8	1285	once upon a time +...	0	1	
10240801286	24	8	1286	I want to tell you the story .	1	3	
10240801288	24	8	1288	once upon a time a little boy was catching fish .	1	3	
10240801289	24	8	1289	&xxx he catch one +...	1	2	
10240801291	24	8	1291	he caught one, then he caught two, and then caught three .	3	5	
10240801299	24	8	1299	three .	0	0	
10240801301	24	8	1301	four .	0	0	
10240801302	24	8	1302	one two three four .	0	0	
10240801304	24	8	1304	&um +...			
10240801305	24	8	1305	here it is .	1	1	
10240801307	24	8	1307	no .	0	0	
10240801308	24	8	1308	these are my postcards .	1	2	
10240801309	24	8	1309	this is for the princess .	1	2	
10240801313	24	8	1313	no .	0	0	
10240801317	24	8	1317	&um and then, he taked it with him +...	1	3	
10240801319	24	8	1319	he took them with him and then it was empty .	2	4	
10240801321	24	8	1321	he's happy .	1	1	
10240801323	24	8	1323	because he caught something .	1	2	
10240801326	24	8	1326	he's going to eat ?	1	1	
10240801328	24	8	1328	and he got to cuts his eyes off ?	1	2	
10240801330	24	8	1330	got to cut his eyes off ?	1	1	
10240801332	24	8	1332	yeah .	0	0	
10240801334	24	8	1334	yeah .	0	0	
10240801336	24	8	1336	what bones ?	0	1	
10240801338	24	8	1338	fish don't have bones .	1	2	
10240801340	24	8	1340	nuh+uh .	0	0	
10240801342	24	8	1342	they have cakes .	1	2	
10240801344	24	8	1344	yeah .	0	0	
10240801346	24	8	1346	yeah .	0	0	
10240801349	24	8	1349	yeah .	0	0	
10240801353	24	8	1353	you're going to hurt yourself .	1	2	
10240801354	24	8	1354	that's why +...	1	1	
10240801359	24	8	1359	no .	0	0	
10240801362	24	8	1362	no .	0	0	
10240801364	24	8	1364	&um +...			
10240801370	24	8	1370	no .	0	0	
10240801371	24	8	1371	no .	0	0	
10240801372	24	8	1372	these are my postcards .	1	2	
10240801374	24	8	1374	this postcards for the people +...	1	2	
10240801376	24	8	1376	are sick .	1	0	
10240801378	24	8	1378	&xxx are my postcards .	1	1	
10240801380	24	8	1380	these are my postcards, Daddy .	1	2	
10240801381	24	8	1381	Daddy, you're messing my postcards up .	1	2	
10240801383	24	8	1383	I'm going to give them to the people .	1	3	
10240801385	24	8	1385	the sick people .	0	1	
10240801387	24	8	1387	&uh &xxx in the letter .	0	1	
10240801389	24	8	1389	&um, you just put them in there .	1	3	
10240801391	24	8	1391	the mail+box .	0	1	
10240801393	24	8	1393	what ?	0	0	
10240801395	24	8	1395	yeah .	0	0	
10240801398	24	8	1398	and my mommy puts a stamp on it ?	1	3	
10240801400	24	8	1400	well where's the stamp ?	1	1	
10240801403	24	8	1403	what stamp ?	0	1	
10240801405	24	8	1405	well where the stamp ?	0	1	
10240801407	24	8	1407	but +...	0	0	
10240801409	24	8	1409	what ?	0	0	
10240801411	24	8	1411	yeah .	0	0	
10240801417	24	8	1417	okay .	0	0	
10240801419	24	8	1419	&um +...			
10240801423	24	8	1423	I want to send to it Allegra .	1	3	
10240801425	24	8	1425	&um, dear Allegra +...	0	1	
10240801426	24	8	1426	come to Jacob's birthday soon .	1	2	
10240801429	24	8	1429	okay .	0	0	
10240801430	24	8	1430	love Zoe .	0	1	
10240801433	24	8	1433	yeah .	0	0	
10240801435	24	8	1435	yeah .	0	0	
10240801438	24	8	1438	&um, and we send it .	1	2	
10240801440	24	8	1440	&um Allegra runs and get it .	2	2	
10240801443	24	8	1443	mm+hm .	0	0	
10240801448	24	8	1448	what ?	0	0	
10240801450	24	8	1450	&um +...			
10240801451	24	8	1451	&um +...			
10240801455	24	8	1455	the mail+man .	0	1	
10240801457	24	8	1457	uh+huh .	0	0	
10240801463	24	8	1463	okay .	0	0	
10240801464	24	8	1464	now, I do this postcard .	1	2	
10240801466	24	8	1466	no .	0	0	
10240801468	24	8	1468	this is how you do a stamp .	2	3	
10240801469	24	8	1469	like this .	0	1	
10240801470	24	8	1470	bing .	0	0	
10240801472	24	8	1472	that's a stamp .	1	2	
10240801475	24	8	1475	yeah .	0	0	
10240801477	24	8	1477	&um Elliott .	0	1	
10240801481	24	8	1481	no .	0	0	
10240801483	24	8	1483	&um, &xxx +...			
10240801484	24	8	1484	Jacob .	0	1	
10240801490	24	8	1490	yeah .	0	0	
10240801494	24	8	1494	okay, now let me +...	1	1	
10240801497	24	8	1497	&um, put it in the mail+box .	1	2	
10240801499	24	8	1499	yeah, &xxx got &xxx .	1	0	
10240801503	24	8	1503	and then I mail+box too .	1	2	
10240801504	24	8	1504	&xxx my mail+box .	0	1	
10240801506	24	8	1506	okay .	0	0	
10240801507	24	8	1507	I came back .	1	1	
10240801509	24	8	1509	I &xxx send one to all my friends .	1	3	
10240801513	24	8	1513	no .	0	0	
10240801515	24	8	1515	no .	0	0	
10240801517	24	8	1517	this one .	0	1	
10240801518	24	8	1518	help me put a stamp on this one .	2	3	
10240801519	24	8	1519	this is how you do it .	2	3	
10240801522	24	8	1522	okay .	0	0	
10240801528	24	8	1528	&um, hello Kesler .	0	0	
10240801530	24	8	1530	yes .	0	0	
10240801535	24	8	1535	love Daddy .	0	1	
10240801540	24	8	1540	I need to go potty .	1	2	
10240801542	24	8	1542	&um, &xxx .			
10240801543	24	8	1543	here ?	0	0	point while holding puzzle piece
10240801545	24	8	1545	here +...	0	0	
10240801548	24	8	1548	where ?	0	0	
10240801555	24	8	1555	&oh .			
10240801563	24	8	1563	I want to put this on here .	1	3	
10240801565	24	8	1565	can I ?	1	1	
10240801573	24	8	1573	I need these too .	1	2	
10240801576	24	8	1576	I need these to do something for it .	2	4	
10240801578	24	8	1578	and that's the stamper right there .	1	2	
10240801580	24	8	1580	that's the &xxx up there .	1	2	
10240801582	24	8	1582	right there .	0	0	
10240801583	24	8	1583	up there .	0	1	
10240801584	24	8	1584	the black one .	0	1	
10240801586	24	8	1586	the stamper .	0	1	
10240801588	24	8	1588	stamper .	0	1	
10240801590	24	8	1590	stapler .	0	1	
10240801592	24	8	1592	what is the stapler for ?	1	1	
10240801598	24	8	1598	why ?	0	0	
10240801602	24	8	1602	yes .	0	0	
10240801605	24	8	1605	no .	0	0	
10240801606	24	8	1606	&um I +...	0	1	
10240801608	24	8	1608	yeah I want to do postcards .	1	2	
10240801609	24	8	1609	these are my things I got to do for the things are the things +...	3	5	flip and beat while holding pencil
10240801610	24	8	1610	they're little things about +...	1	2	
10240801611	24	8	1611	they're called Spanish cakes .	1	2	
10240801613	24	8	1613	&xxx your cage .	0	1	
10240801615	24	8	1615	what ?	0	0	
10240801617	24	8	1617	what colors ?	0	1	
10240801619	24	8	1619	yeah .	0	0	
10240801622	24	8	1622	that's blue@q in Spanish .	1	2	
10240801629	24	8	1629	I don't know .	1	1	
10240801631	24	8	1631	&um rojo@f .	0	0	
10240801633	24	8	1633	&um blanco@f .	0	0	
10240801637	24	8	1637	&um, &xxx .			
10240801640	24	8	1640	marillo@f ?	0	0	
10240801642	24	8	1642	&um, verde@f .	0	0	
10240801644	24	8	1644	and these are two of the &xxx .	1	3	
10240801645	24	8	1645	I need them for my project stamp .	1	3	
10240801651	24	8	1651	okay .	0	0	
10240801655	24	8	1655	that's not a h@l .	1	2	
10240801656	24	8	1656	that's a i@l .	1	2	
10240801677	24	8	1677	give it to me .	1	2	
10240801679	24	8	1679	they're my things .	1	2	
10240801682	24	8	1682	those are my things .	1	2	
10240801683	24	8	1683	don't touch them .	1	1	
10240801685	24	8	1685	that's a stapler .	1	2	
10240801687	24	8	1687	&um I want to put some stamps on here .	1	3	
10240801689	24	8	1689	there .	0	0	
10240801692	24	8	1692	I stamped it .	1	2	
10240801694	24	8	1694	what ?	0	0	
10240801696	24	8	1696	what ?	0	0	
10240801697	24	8	1697	what ?	0	0	
10240801699	24	8	1699	yeah .	0	0	
10240801700	24	8	1700	I will send the boy one to Alabama .	1	3	
10240801703	24	8	1703	&um, Grandma .	0	1	
10240801706	24	8	1706	&um, dear Grandma .	0	1	
10240801707	24	8	1707	please see me next week at thirty+oclock .	1	2	
